number;dtscore;dtscore_aux;dtscoreco;dtscoreco_aux;edad;IBC;labor;calificacion;ingresos;pendeuda;co;credito;yeardde;tinteres;ncuotas;genero;cuota;capacidad;antiguedad_laboral;estrato;tipo_vivienda;nivel_educativo;creditos_activos;personas_hogar;eactual
100;734;0;-999;1;38;5.8;EMPLEADO ;B1;2030000;0.2;0;6645000;2024;0.0215;60; HOMBRE;198168;0.1;11;4;propia_pagando;media;1;4;0
101;-999;1;814;0;33;5.5;INDEPENDIENTE;C1;3500000;0.06;1;16545000;2024;0.0215;60; HOMBRE;504958;0.17;1;1;arriendo;basica;3;4;1
102;818;0;-999;1;42;7.2;INDEPENDIENTE;B1;6500000;0;0;9545000;2024;0.0215;12;MUJER;910907;0.15;15;4;propia;superior;1;3;0
103;791;0;-999;1;38;5.3;EMPLEADO ;B1;2400000;0.23;0;11695000;2024;0.0215;72;HOMBRE;328982;0.14;9;3;propia_pagando;tecnica/tecnologica;2;4;0
104;747;0;-999;1;37;5.1;INDEPENDIENTE;B1;4000000;0.1;0;13045000;2024;0.0215;48;HOMBRE;447508;0.11;12;4;propia_pagando;media;1;3;0
105;767;0;-999;1;43;6.4;EMPLEADO ;B1;3000000;0.2;0;17035000;2024;0.0215;60;MUJER;508021;0.17;16;4;propia;superior;1;4;0
106;619;0;286;0;27;5.1;EMPLEADO ;B1;1300000;0;0;8184000;2024;0.0215;72;MUJER;224488;0.17;5;2;arriendo;media;2;3;0
107;724;0;796;0;22;5.7;EMPLEADO ;B1;1300000;0.15;0;16545000;2024;0.0215;72;MUJER;453832;0.35;2;1;arriendo;media;2;2;0
108;734;0;-999;1;26;6.7;EMPLEADO ;B1;1200000;0;0;9174000;2024;0.0215;72;HOMBRE;534174;0.33;4;2;propia_pagando;tecnica/tecnologica;2;3;0
109;743;0;826;0;21;5.2;EMPLEADO ;C1;1250000;0.33;0;15625000;2024;0.0215;72;HOMBRE;439534;0.28;2;1;arriendo;media;2;2;0
110;762;0;-999;1;24;5.2;EMPLEADO ;B1;2100000;0;0;14704000;2024;0.0215;60;HOMBRE;448798;0.2;3;1;arriendo;media;2;3;0
111;697;0;721;0;22;6.1;INDEPENDIENTE;C1;3000000;0;0;4545000;2024;0.0208;27;HOMBRE;226828;0.08;2;;arriendo;media;2;3;0
112;737;0;-999;1;25;6;EMPLEADO ;B1;1600000;0.09;0;12775000;2024;0.0208;60;MUJER;389920;0.22;4;2;propia_pagando;tecnica/tecnologica;2;4;0
113;730;0;-999;1;34;4.5;EMPLEADO ;B1;2800000;0;0;6695000;2024;0.0208;36;HOMBRE;273720;0.11;8;3;propia_pagando;media;1;3;0
114;-999;1;909;0;23;5.2;EMPLEADO ;B1;2200000;0.19;0;18045000;2024;0.0208;23;HOMBRE;550772;0.32;2;1;arriendo;media;2;2;0
115;783;0;-999;1;39;7.7;INDEPENDIENTE;B1;3000000;0.02;0;14045000;2024;0.0208;36;HOMBRE;558130;0.19;18;4;propia;superior;1;3;0
116;769;0;-999;1;47;7.7;EMPLEADO ;B1;2500000;0;0;11745000;2024;0.0208;48;MUJER;389168;0.13;20;4;propia;superior;1;2;0
117;778;0;-999;1;22;5.6;EMPLEADO ;B1;1600000;0.1;0;9245000;2024;0.0208;36;HOMBRE;367384;0.2;2;1;arriendo;media;2;2;0
118;722;0;-999;1;29;7.4;INDEPENDIENTE;B1;7200000;0.57;0;16274000;2024;0.0208;48;MUJER;539236;0.03;8;3;propia_pagando;superior;1;3;0
119;719;0;-999;1;21;6;EMPLEADO ;B1;1500000;0.05;0;13545000;2024;0.0208;72;MUJER;364532;0.24;2;1;arriendo;media;2;2;0
120;756;0;-999;1;35;5.9;EMPLEADO ;B1;3100000;0.18;0;13245000;2024;0.0208;48;MUJER;438871;0.15;10;3;propia_pagando;tecnica/tecnologica;2;4;0
121;694;0;801;0;20;5.1;EMPLEADO ;C1;2800000;0.53;1;18045000;2024;0.0208;72;HOMBRE;485639;0.16;1;1;arriendo;basica;2;4;0
122;805;0;-999;1;33;5.3;EMPLEADO ;B1;2450000;0;0;13545000;2024;0.0208;48;HOMBRE;448811;0.18;2;1;propia_pagando;basica;3;4;1
123;830;0;-999;1;21;6.5;EMPLEADO ;B1;2050000;0;0;5045000;2024;0.0208;12;HOMBRE;479400;0.29;1;1;arriendo;basica;2;4;0
124;789;0;-999;1;20;5.9;EMPLEADO ;B1;2000000;0.02;0;10744000;2024;0.0208;36;MUJER;426952;0.21;1;1;propia_pagando;basica;2;4;0
125;686;0;-999;1;25;4.5;EMPLEADO ;B1;3470000;0.27;0;8545000;2024;0.0208;48;HOMBRE;283137;0.08;4;1;propia_pagando;media;1;3;0
126;763;0;-999;1;34;18.8;EMPLEADO ;B1;2700000;0.15;0;11695000;2024;0.0208;72;HOMBRE;314743;0.14;9;3;propia;superior;1;2;0
127;726;0;864;0;20;6.1;EMPLEADO ;C1;1500000;0.61;1;13045000;2024;0.0208;72;HOMBRE;360206;0.26;1;1;arriendo;basica;2;4;0
128;723;0;-999;1;31;4.8;EMPLEADO ;B1;520000;0.19;0;15054000;2024;0.0208;68;HOMBRE;415627;1.89;7;;propia_pagando;media;2;3;0
129;705;0;-999;1;20;5.4;EMPLEADO ;B1;2100000;0.15;0;11695000;2024;0.0208;48;HOMBRE;395698;0.19;1;1;arriendo;basica;3;4;1
130;767;0;-999;1;32;5.2;EMPLEADO ;B1;2100000;0.12;0;10045000;2024;0.0208;40;HOMBRE;372374;0.18;8;3;propia_pagando;tecnica/tecnologica;2;4;0
131;756;0;-999;1;21;6.4;EMPLEADO ;B1;2300000;0.01;0;12945000;2024;0.0208;48;HOMBRE;437992;0.17;2;1;arriendo;media;2;3;0
132;758;0;-999;1;21;5.1;INDEPENDIENTE;B1;1050000;0;0;6045000;2024;0.0208;36;HOMBRE;244452;0.17;1;1;propia_pagando;basica;2;4;0
133;728;0;-999;1;26;6.7;EMPLEADO ;B1;3800000;0;0;15054000;2024;0.0197;36;HOMBRE;608764;0.16;5;2;propia_pagando;tecnica/tecnologica;2;3;0
134;-999;1;755;0;20;5.1;EMPLEADO ;C1;1800000;0.25;1;6684000;2024;0.0197;24;HOMBRE;361280;0.23;1;1;arriendo;basica;3;4;0
135;-999;1;860;0;22;7;EMPLEADO ;C1;2300000;0.01;1;15545000;2024;0.0197;60;HOMBRE;466784;0.26;2;1;arriendo;media;2;3;0
136;799;0;-999;1;31;7.1;EMPLEADO ;B1;2400000;0.22;0;8654000;2024;0.0197;48;MUJER;286475;0.1;8;2;propia_pagando;tecnica/tecnologica;2;4;0
137;728;0;-999;1;26;5.8;EMPLEADO ;B1;900000;0;0;11595000;2024;0.0197;60;HOMBRE;348174;0.25;4;3;propia_pagando;media;2;3;0
138;-999;1;639;0;20;6.5;EMPLEADO ;C1;1500000;0.1;1;11344000;2024;0.0197;48;HOMBRE;375522;0.25;1;1;arriendo;basica;2;4;0
139;-999;1;784;0;27;6.5;EMPLEADO ;C1;2100000;0.55;1;11695000;2024;0.0197;48;HOMBRE;387142;0.17;5;2;propia_pagando;tecnica/tecnologica;2;3;0
140;739;0;-999;1;41;5.9;EMPLEADO ;B1;3600000;0.04;0;11344000;2024;0.0197;12;HOMBRE;304118;0.08;16;4;propia;media;1;4;0
141;708;0;-999;1;22;7.7;EMPLEADO ;B1;2800000;0.05;0;12045000;2024;0.0197;60;MUJER;361686;0.12;2;1;arriendo;media;2;3;0
142;695;0;-999;1;44;4.6;EMPLEADO ;B1;2300000;0.22;0;6045000;2024;0.0197;36;HOMBRE;236021;0.08;18;4;propia;media;1;3;0
143;739;0;-999;1;28;5.3;EMPLEADO ;B1;1550000;0.01;0;13674000;2024;0.0197;63;HOMBRE;380787;0.25;6;2;propia_pagando;tecnica/tecnologica;2;4;0
144;-999;1;860;0;29;5.3;INDEPENDIENTE;B1;2550000;0.11;1;14045000;2024;0.0197;36;HOMBRE;548374;0.23;1;1;propia_pagando;basica;3;4;1
145;717;0;-999;1;33;6.5;EMPLEADO ;C1;3000000;0.01;0;17025000;2024;0.0197;72;HOMBRE;444501;0.15;9;3;propia;superior;1;3;0
146;661;0;-999;1;36;6.6;EMPLEADO ;B1;4492000;0.35;0;13045000;2024;0.0197;48;HOMBRE;422699;0.08;12;3;propia;tecnica/tecnologica;1;4;0
147;754;0;-999;1;25;7.5;EMPLEADO ;B1;1750000;0;0;11737300;2024;0.0197;72;HOMBRE;306438;0.2;4;2;propia_pagando;media;2;3;0
148;-999;1;771;0;65;5.4;EMPLEADO ;C1;2762000;0.27;1;10045000;2024;0.0197;48;HOMBRE;325489;0.13;35;4;propia;basica;1;2;0
149;-999;1;704;0;27;6.4;EMPLEADO ;C1;3200000;0.29;1;16045000;2024;0.0197;72;HOMBRE;418914;0.15;6;;propia_pagando;tecnica/tecnologica;2;3;0
150;711;0;-999;1;46;7.1;EMPLEADO ;B1;2600000;0.02;0;11524000;2024;0.0197;48;HOMBRE;373414;0.13;19;3;propia;superior;1;3;0
151;811;0;-999;1;43;6.5;EMPLEADO ;B1;4100000;0.06;0;7045000;2024;0.0197;15;HOMBRE;547051;0.14;15;4;propia;superior;1;2;0
152;-999;1;617;0;21;5.8;EMPLEADO ;C1;1400000;0;1;6045000;2024;0.0197;60;HOMBRE;343998;0.25;1;1;arriendo;basica;2;4;0
153;714;0;-999;1;49;9;INDEPENDIENTE;B1;4600000;0.01;0;11045000;2024;0.0197;48;HOMBRE;357893;0.07;22;4;propia;superior;1;2;0
154;715;0;-999;1;38;8;EMPLEADO ;B1;1400000;0.12;0;8045000;2024;0.0197;24;MUJER;423904;0.3;13;3;propia_pagando;superior;1;3;0
155;771;0;-999;1;34;7.3;EMPLEADO ;B1;2300000;0.06;0;15845000;2024;0.0197;72;HOMBRE;424784;0.18;9;3;propia_pagando;tecnica/tecnologica;2;4;0
156;688;0;-999;1;31;8.1;EMPLEADO ;B1;1838000;0.06;0;11045000;2025;0.0187;48;HOMBRE;358360;0.18;7;2;propia_pagando;superior;1;3;0
157;748;0;-999;1;46;8;INDEPENDIENTE;B1;3100000;0.25;0;13300000;2025;0.0187;60;HOMBRE;390466;0.12;20;4;propia;superior;1;2;0
