number;dtscore;dtscore_aux;dtscoreco;dtscoreco_aux;edad;IBC;labor;calificacion; ingresos ;pendeuda ;co; credito ;yeardde;tinteres; ncuotas  ;genero; cuota ;capacidad;antiguedad_laboral;estrato;tipo_vivienda;nivel_educativo;creditos_activos;personas_hogar; eactual 
1;668;0;-999;1;32;7,1;INDEPENDIENTE;C1;2300000;0,02;0;16929000;2022;0,018;62; HOMBRE;421350;0,18;8;3;propia;tecnica/tecnologica;2;3;0
2;737;0;668;0;32;6,6;EMPLEADO ;B1;2417000;0,06;1;14562200;2022;0,018;63; HOMBRE;362442;0,15;6;3;propia_pagando;superior;1;4;0
3;748;0;-999;1;25;7,2;EMPLEADO ;C1;2100000;0,62;1;10504000;2022;0,018;28; HOMBRE;398982;0,19;4;2;arriendo;media;2;2;0
4;756;0;-999;1;43;5,5;EMPLEADO ;B1;1500000;0,01;0;7473000;2022;0,022;60; MUJER;233409;0,16;2;1;propia_pagando;media;3;5;1
5;289;0;818;0;34;6,3;EMPLEADO ;C1;2250000;0,78;1;11634000;2022;0,022;51; HOMBRE;351088;0,16;7;3;propia;tecnica/tecnologica;2;3;0
6;752;0;-999;1;29;5,2;EMPLEADO ;B1;4460000;0,41;0;12150000;2022;0,022;32; HOMBRE;492124;0,11;5;4;propia;superior;1;2;0
7;783;0;-999;1;57;5,9;EMPLEADO ;B1;2500000;0,05;1;11884000;2022;0,022;57; HOMBRE;358632;0,14;12;3;propia;tecnica/tecnologica;1;4;0
8;794;0;-999;1;27;5,4;EMPLEADO ;B1;3700000;0,16;1;15150000;2022;0,022;69; MUJER;421209;0,11;3;2;propia_pagando;media;3;3;1
9;784;0;-999;1;29;5,3;INDEPENDIENTE;B1;1200000;0;0;6925500;2022;0,022;43; HOMBRE;280510;0,23;1;1;arriendo;basica;2;4;1
10;-999;1;860;0;31;5,1;EMPLEADO ;C1;1800000;0,14;1;6359000;2022;0,022;57; MUJER;191900;0,11;4;2;arriendo;media;2;3;0
